標的名稱,時間,市佔率,成長率,金額
大立光,2015-06,12.8,0,13889007.60
台積電,2015-06,9.5,0,10314353.125
可成,2015-06,8,0,8744830.00
大立光,2015-07,13.1,-8.13,12759566.52
台積電,2015-07,11.4,7.77,11116164.359
可成,2015-07,7.9,-11.93,7700892.00
大立光,2015-08,13.1,-4.87,12137814.88
台積電,2015-08,10.9,-8.9,10125824.814
可成,2015-08,8.1,-1.99,7547356.00
台積電,2015-09,11.2,-0.15,10109809.58
大立光,2015-09,9.8,-27.02,8857968.64
可成,2015-09,8.6,2.28,7720113.00
台積電,2015-10,12.6,13.5,11475113.561
大立光,2015-10,8.6,-10.9,7891820.04
可成,2015-10,6,-28.55,5515840.00
台積電,2015-11,13.4,3.4,11865702.474
大立光,2015-11,7.7,-13.85,6798407.16
可成,2015-11,5.5,-11.96,4855972.00
台積電,2015-12,14.5,6.67,12658326.538
大立光,2015-12,5.6,-27.8,4908066.88
可成,2015-12,3.3,-39.94,2916216.00
台積電,2016-01,14.2,-1.5,12468236.444
大立光,2016-01,6.9,23.47,6060360.00
可成,2016-01,3.6,7.8,3143742.00
台積電,2016-02,14.2,3.73,12933569.818
大立光,2016-02,6.5,-2.82,5889170.04
同致電子,2016-02,4.2,31.9,3802230.00
台積電,2016-03,15,6.02,13712892.084
大立光,2016-03,5.6,-12.8,5135069.28
同致電子,2016-03,5.6,34.91,5129870.00
台積電,2016-04,14.1,-12.54,11991972.30
同致電子,2016-04,6.5,6.83,5480346.00
大立光,2016-04,4.5,-25.9,3804846.88
台積電,2016-05,15.1,10.28,13225890.435
大立光,2016-05,7.1,63.5,6221031.68
中華電,2016-05,3.2,10.75,2776334.00
台積電,2016-06,15.6,2.11,13504965.827
大立光,2016-06,8.3,14.61,7130269.08
中華電,2016-06,3.4,6.27,2950642.10
台積電,2016-07,14.9,-2.47,13171148.147
大立光,2016-07,9,11.81,7972512.48
中華電,2016-07,3,-9.91,2658215.40
台積電,2016-08,14.4,-4.17,12621396.832
大立光,2016-08,8.8,-3.69,7678008.64
中華電,2016-08,3,-1.65,2614179.60
台積電,2016-09,14.7,1.84,12854292.967
大立光,2016-09,9.6,9.82,8432741.52
中華電,2016-09,2.7,-9.22,2372921.20
台積電,2016-10,15.3,1.39,13034111.859
大立光,2016-10,10.4,5.47,8894469.24
鴻海,2016-10,3.2,101.06,2714758.228
台積電,2016-11,15.4,-2.45,12713647.206
大立光,2016-11,11.6,7.65,9575121.96
鴻海,2016-11,3.5,6.76,2898305.99
台積電,2016-12,15.1,-1.73,12492732.485
大立光,2016-12,12.2,5.78,10129472.36
鴻海,2016-12,4.3,24.24,3600913.619
台積電,2017-01,14.3,-2.46,12184842.413
大立光,2017-01,13.9,17.25,11876978.80
鴻海,2017-01,4.4,4.86,3776206.273
台積電,2017-02,14,-0.1,12172447.098
大立光,2017-02,12.9,-5.21,11257655.04
鴻海,2017-02,5.4,24.18,4689438.873
台積電,2017-03,13.6,-3.29,11771578.098
大立光,2017-03,13.1,0.83,11351945.52
鴻海,2017-03,5.5,1.79,4773617.94
台積電,2017-04,13.8,1.11,11902715.751
大立光,2017-04,12.9,-1.89,11137231.76
鴻海,2017-04,6.4,15.34,5506239.102
台積電,2017-05,14.4,3.11,12273883.846
大立光,2017-05,12.1,-8.01,10244249.00
鴻海,2017-05,7.3,13.25,6236357.995
台積電,2017-06,14.2,-1.99,12028673.999
大立光,2017-06,12.2,0.81,10327512.40
鴻海,2017-06,8.6,17.77,7344728.118
台積電,2017-07,13.6,-0.14,12011674.391
大立光,2017-07,12.7,8.29,11184660.84
鴻海,2017-07,8.4,0.42,7375763.35
台積電,2017-08,13.6,0.77,12104619.355
大立光,2017-08,13.1,3.86,11616473.22
鴻海,2017-08,7.8,-5.76,6950530.85
台積電,2017-09,13.5,-5.36,11455768.855
大立光,2017-09,11.5,-15.87,9771932.75
鴻海,2017-09,5,-39.18,4226773.385
台積電,2017-10,13.8,5.41,12076245.126
大立光,2017-10,11.8,5.76,10335771.81
鴻海,2017-10,4.5,-5.98,3973915.568
台積電,2017-11,12.5,-9.32,10950486.932
大立光,2017-11,9.2,-22.19,8041704.76
穩懋,2017-11,5.4,34.06,4743929.92
台積電,2017-12,13,-2.94,10628255.621
國巨,2017-12,5.2,3.51,4207844.014
大立光,2017-12,4.7,-52.18,3845065.68
台積電,2018-01,13.9,9.22,11608997.91
國巨,2018-01,5.8,14.38,4813165.053
環球晶圓,2018-01,5.8,32.88,4811448.00
台積電,2018-02,14.3,-1.56,11427310.572
環球晶圓,2018-02,5.8,-4.36,4601652.00
國巨,2018-02,4.4,-26.09,3557158.286
台積電,2018-03,13.6,-0.66,11351459.297
國巨,2018-03,8.6,103.72,7246970.37
環球晶圓,2018-03,6.4,16.76,5373095.00
台積電,2018-04,11.7,-15.89,9547048.414
國巨,2018-04,9.7,9.62,7944794.121
環球晶圓,2018-04,6.9,4.27,5602800.00
國巨,2018-05,11.3,30.21,10345292.781
華新科,2018-05,8.9,121.6,8116539.741
台積電,2018-05,8.5,-18.58,7772683.968
國巨,2018-06,12.8,12.76,11665540.125
華新科,2018-06,9,1.22,8215820.319
台積電,2018-06,7,-17.99,6373864.355
台積電,2018-07,11.5,64.54,10488082.572
大立光,2018-07,9.5,54.02,8669551.20
國巨,2018-07,7.6,-40.7,6917395.881
台積電,2018-08,13.9,18.08,12385147.392
大立光,2018-08,10,2.25,8864869.29
國巨,2018-08,5.2,-33.44,4604187.386
台積電,2018-09,16.7,5.95,13122554.027
大立光,2018-09,4.7,-58.14,3710382.63
台泥,2018-09,4.2,3.97,3310512.278
台積電,2018-10,15.4,-20.17,10474467.588
中華電,2018-10,6.2,218.62,4220261.40
大立光,2018-10,4.6,-15.66,3129235.00
台積電,2018-11,13.8,-9.4,9488968.293
大立光,2018-11,4.5,-1.28,3088942.00
台燿,2018-11,4,21.98,2756703.60
台積電,2018-12,14,-0.09,9479497.293
大立光,2018-12,4.4,-2.2,3020814.00
台燿,2018-12,3.5,-13.24,2391553.60
台積電,2019-01,12.5,-8.75,8649272.58
大立光,2019-01,5.7,29.53,3913056.00
智邦,2019-01,4.3,30.25,2968290.00
台積電,2019-02,13,8.9,9419869.998
大立光,2019-02,7.6,40.19,5485917.68
譜瑞-KY,2019-02,3.8,62.34,2723365.00
台積電,2019-03,12.46,-0.08,9411409.933
大立光,2019-03,8.64,19.01,6529166.40
智邦,2019-03,4.82,43.86,3647227.50
台積電,2019-04,13.17,5.47,9926351.638
大立光,2019-04,8.51,-1.76,6414135.60
智邦,2019-04,5.67,17.24,4276233.00
